"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\CardDetailsPage.dart", "Dart", 227, 13, 16, 256
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\appointmentspage.dart", "Dart", 118, 2, 14, 134
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\authpage.dart", "Dart", 24, 0, 6, 30
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\changeEmail.dart", "Dart", 228, 6, 15, 249
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\changePassword.dart", "Dart", 223, 8, 12, 243
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\changeUsername.dart", "Dart", 167, 2, 11, 180
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\chat_services.dart", "Dart", 131, 10, 31, 172
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\creditcarduipage.dart", "Dart", 143, 5, 15, 163
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\database_opr\usermodel.dart", "Dart", 19, 0, 6, 25
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\direct2messagepage.dart", "Dart", 145, 1, 17, 163
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\directmessages.dart", "Dart", 252, 3, 30, 285
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\earnings.dart", "Dart", 83, 1, 3, 87
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\favouritespage.dart", "Dart", 97, 0, 10, 107
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\filterpage.dart", "Dart", 456, 0, 16, 472
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\forgetpasswordpage.dart", "Dart", 144, 4, 27, 175
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\globals.dart", "Dart", 1, 1, 1, 3
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\homepage.dart", "Dart", 24, 0, 7, 31
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\loginpage.dart", "Dart", 235, 9, 28, 272
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\main.dart", "Dart", 18, 1, 7, 26
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\mainpage.dart", "Dart", 91, 2, 8, 101
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\message.dart", "Dart", 41, 0, 4, 45
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\messageContent.dart", "Dart", 21, 0, 4, 25
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\messagepage.dart", "Dart", 131, 8, 22, 161
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\paymentpage.dart", "Dart", 337, 16, 28, 381
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\profilepage.dart", "Dart", 443, 9, 17, 469
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\searchpage.dart", "Dart", 357, 2, 22, 381
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellerDetails.dart", "Dart", 421, 11, 24, 456
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\selleraddpage.dart", "Dart", 2022, 38, 49, 2109
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellerappointmentpage.dart", "Dart", 17, 0, 6, 23
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellerdirectmessages.dart", "Dart", 259, 0, 28, 287
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\selleribanpage.dart", "Dart", 264, 1, 23, 288
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellermainpage.dart", "Dart", 46, 0, 6, 52
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellermessagepage.dart", "Dart", 147, 9, 19, 175
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sellerprofilepage.dart", "Dart", 453, 10, 19, 482
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\settingsMenu.dart", "Dart", 149, 0, 4, 153
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\sharedvalues.dart", "Dart", 6, 3, 0, 9
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\showCardDetails.dart", "Dart", 176, 1, 9, 186
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\signuppage.dart", "Dart", 384, 15, 43, 442
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\styles\button.dart", "Dart", 12, 0, 3, 15
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\styles\chatBubble.dart", "Dart", 27, 0, 2, 29
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\styles\colors.dart", "Dart", 7, 0, 3, 10
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\styles\navbar.dart", "Dart", 0, 59, 1, 60
"c:\Users\Administrator\OneDrive\Belgeler\kiralik_kaleci\lib\styles\navbar2.dart", "Dart", 0, 71, 0, 71
"Total", "-", 8546, 321, 616, 9483
